Herd_Year,Parity_conception_interval,Calving_season,No_calvings,Tournament_within_WC,Herd_Year(fighting_ability),Age_class,Weight_category_WC,Body_weight,Animal,Fighting_ability,Fat,Protein,Milk
4054,7,2,3,0,0,0,0,0,37,0,5.5,6,19.93
4053,9,3,5,0,0,0,0,0,37,0,7.5,7.9,25.67
616,4,4,3,0,0,0,0,0,38,0,9.2,9.1,25.33
616,3,3,4,0,0,0,0,0,38,0,11.5,10.9,30.58
4283,4,4,2,0,0,0,0,0,39,0,8.6,7.9,23.28
4283,5,3,3,0,0,0,0,0,39,0,8.2,8.4,25.48
4284,5,3,4,0,0,0,0,0,39,0,11.4,9.8,30.98
4285,7,3,5,0,0,0,0,0,39,0,11.5,10.2,31.36
1556,6,4,5,0,0,0,0,0,40,0,6.7,9.2,26.93
3239,5,3,4,0,0,0,0,0,41,0,5.4,5.8,18.14
3240,11,3,5,0,0,0,0,0,41,0,7.4,7.3,22.76
2391,14,5,4,0,0,0,0,0,42,0,8.2,6.8,20.83
266,6,3,3,0,0,0,0,0,43,0,7.7,8.1,22.4
267,7,3,4,0,0,0,0,0,43,0,6,6.9,19.51
92,8,3,1,0,0,0,0,0,44,0,11,10.8,32.09
3696,4,4,2,0,0,0,0,0,44,0,10.9,10.7,31.42
3697,4,4,3,0,0,0,0,0,44,0,11.9,11.2,33.35
3715,5,4,4,0,0,0,0,0,44,0,9.9,10.1,29.72
3716,5,5,5,0,0,0,0,0,44,0,7.9,8.9,24.18
581,5,4,5,0,0,0,0,0,45,0,9.8,8.7,25.47
3528,2,5,1,0,0,0,0,0,46,0,7.6,7,19.49
3529,6,1,4,0,0,0,0,0,46,0,13.2,13.2,40.85
1516,6,2,5,0,0,0,0,0,46,0,13.6,12.2,38.83
3107,4,5,3,0,0,0,0,0,47,0,6.6,7.3,20.02
301,8,2,4,0,0,0,0,0,48,0,12.7,12.1,35.18
3546,6,2,4,0,0,0,0,0,49,0,9.9,8.9,24.87
3547,5,3,5,0,0,0,0,0,49,0,10.8,11.2,32.28
1091,6,2,2,0,0,0,0,0,50,0,12.4,13.6,39.31
1092,6,2,3,0,0,0,0,0,50,0,13.7,13.1,38.89
1094,4,4,4,0,0,0,0,0,50,0,13.1,13.6,39.84
1094,5,3,5,0,0,0,0,0,50,0,13.3,12.9,38.36
4206,10,2,4,0,0,0,0,0,51,0,13.3,12.9,39.16
4207,2,4,5,0,0,0,0,0,51,0,12.3,11.6,36.43
4270,5,3,2,0,0,0,0,0,52,0,6.4,7.6,23.04
4271,8,3,3,0,0,0,0,0,52,0,7.1,8.1,24.8
4273,10,5,4,0,0,0,0,0,52,0,12,10.8,33.53
4274,3,5,5,0,0,0,0,0,52,0,12.7,12.9,37.28
4283,5,2,2,0,0,0,0,0,53,0,8.3,8.8,25.43
4284,5,3,3,0,0,0,0,0,53,0,8.3,9.2,26.94
4286,9,3,5,0,0,0,0,0,53,0,13.7,13.8,40.5
2048,5,2,2,0,0,0,0,0,54,0,9.9,9.7,29.17
2049,7,2,3,0,0,0,0,0,54,0,10.5,8.8,25.47
2050,4,3,4,0,0,0,0,0,54,0,10.2,8.9,26.11
2051,8,2,5,0,0,0,0,0,54,0,10.3,9.1,27.18
64,4,5,3,0,0,0,0,0,55,0,10.3,11.1,31.26
3094,2,4,4,0,0,0,0,0,55,0,8.6,9.4,24.38
3094,5,3,5,0,0,0,0,0,55,0,7.8,8,21.48
4235,3,5,3,0,0,0,0,0,56,0,11.8,10.1,32.04
4236,9,4,4,0,0,0,0,0,56,0,11,11.1,34.1
3770,3,4,4,0,0,0,0,0,57,0,8.6,8.6,24.52
3770,8,3,5,0,0,0,0,0,57,0,8,7.4,21.81
4043,6,3,2,0,0,0,0,0,58,0,9.5,8.3,24.02
4044,7,4,3,0,0,0,0,0,58,0,7.2,7.2,22.78
4045,3,5,4,0,0,0,0,0,58,0,7.9,8.3,24.97
1922,3,5,5,0,0,0,0,0,59,0,6,5.6,16.04
2286,4,2,4,0,0,0,0,0,60,0,14.1,11.9,34.96
2287,4,2,5,0,0,0,0,0,60,0,9.8,10,29.35
1941,6,2,1,0,0,0,0,0,61,0,10.8,11.1,32.06
1942,5,2,2,0,0,0,0,0,61,0,9.8,9.6,27.26
1943,5,2,3,0,0,0,0,0,61,0,13.5,12.5,35.91
1944,5,2,4,0,0,0,0,0,61,0,12.4,11.7,34.68
1945,5,2,5,0,0,0,0,0,61,0,12.8,12.5,37.2
1553,5,2,1,0,0,0,0,0,62,0,10.8,11.1,32.6
1554,4,3,3,0,0,0,0,0,62,0,15.8,14.5,42.84
1555,4,3,4,0,0,0,0,0,62,0,12.8,13.2,39.32
1556,7,3,5,0,0,0,0,0,62,0,11.9,12.3,38.1
2988,6,3,1,0,0,0,0,0,63,0,9.1,8.4,24.65
2990,2,4,2,0,0,0,0,0,63,0,12.1,10.5,30.53
2990,6,3,3,0,0,0,0,0,63,0,12.7,10.9,33.39
2991,7,3,4,0,0,0,0,0,63,0,12.6,12,35.02
3000,7,3,3,0,0,0,0,0,64,0,9.4,9.3,26.93
3001,0,4,5,0,0,0,0,0,64,0,7.6,7.7,22.74
1862,6,3,3,0,0,0,0,0,65,0,11.3,11.3,31.46
1864,5,4,4,0,0,0,0,0,65,0,11.8,12.6,32.78
1865,10,4,5,0,0,0,0,0,65,0,12.7,13.4,36.17
3352,6,2,2,0,0,0,0,0,66,0,8.3,8.3,26.1
3353,6,3,3,0,0,0,0,0,66,0,8,7.4,24.69
221,5,3,4,0,0,0,0,0,66,0,8.6,8.8,26.77
3528,5,2,1,0,0,0,0,0,67,0,5.1,5.3,14.63
1791,6,3,3,0,0,0,0,0,67,0,7.7,8.3,24.59
1792,6,3,4,0,0,0,0,0,67,0,7.9,7.7,24.46
1794,4,4,5,0,0,0,0,0,67,0,7.6,8.9,27.79
176,7,2,5,0,0,0,0,0,68,0,14.9,13.6,39.93
825,4,4,2,0,0,0,0,0,69,0,11.7,10.8,32.8
776,7,2,3,0,0,0,0,0,70,0,7.9,7.3,24.17
777,4,3,4,0,0,0,0,0,70,0,6,6,20.08
875,5,3,5,0,0,0,0,0,70,0,9.5,8.5,27.2
1239,5,3,3,0,0,0,0,0,71,0,12.7,10.4,33.93
838,6,2,2,0,0,0,0,0,72,0,5.1,5.8,18.09
839,5,2,3,0,0,0,0,0,72,0,5.7,6.2,18.33
840,10,3,4,0,0,0,0,0,72,0,8.8,8.9,28.95
4085,6,3,5,0,0,0,0,0,73,0,7.6,7.8,22.46
385,7,2,1,0,0,0,0,0,74,0,8.9,9.4,26.94
386,3,4,1,0,0,0,0,0,75,0,8.8,9.3,26.05
3404,5,5,4,0,0,0,0,0,75,0,9.5,10.9,31.11
2379,8,2,2,0,0,0,0,0,76,0,10.8,11.6,38.56
2381,10,2,4,0,0,0,0,0,76,0,10.8,13.2,42.76
2383,4,5,5,0,0,0,0,0,76,0,9.9,10.7,35.33
3817,5,2,2,0,0,0,0,0,77,0,8.8,8.7,25.95
3818,6,2,3,0,0,0,0,0,77,0,9.2,8.4,25.42
725,4,3,2,0,0,0,0,0,78,0,10.1,9.4,26.48
726,6,3,3,0,0,0,0,0,78,0,12.7,10.9,32.72
727,4,3,4,0,0,0,0,0,78,0,13.8,11.5,35.63
728,5,3,5,0,0,0,0,0,78,0,12.7,10.7,33.17
1117,4,4,1,0,0,0,0,0,79,0,6.7,7.1,19.85
1117,6,3,2,0,0,0,0,0,79,0,13.1,12.9,36.88
1118,11,3,4,0,0,0,0,0,79,0,15.1,13.8,39.39
2973,5,3,2,0,0,0,0,0,80,0,9.5,11.4,32.48
2974,3,3,3,0,0,0,0,0,80,0,8.7,10,29.5
2937,5,5,1,0,0,0,0,0,81,0,8.8,8.2,24.24
2938,2,5,2,0,0,0,0,0,81,0,10.1,9.8,29.87
2938,5,3,3,0,0,0,0,0,81,0,9.9,9.7,28.48
2939,5,3,4,0,0,0,0,0,81,0,10.5,12.4,35.8
2940,7,3,5,0,0,0,0,0,81,0,11.8,12.8,37.4
2843,6,3,4,0,0,0,0,0,82,0,12.5,12.5,35.2
2099,8,3,1,0,0,0,0,0,83,0,7.4,6.6,19.13
2101,2,4,2,0,0,0,0,0,83,0,8.9,8.2,24.81
2163,5,2,4,0,0,0,0,0,83,0,7.6,7.8,25.12
2164,6,2,5,0,0,0,0,0,83,0,6.1,6.3,19.82
2099,7,2,1,0,0,0,0,0,84,0,11,10.5,29.04
2100,6,3,2,0,0,0,0,0,84,0,13.7,12.6,35.25
2102,2,4,3,0,0,0,0,0,84,0,13.8,12.5,36.81
1597,5,2,5,0,0,0,0,0,84,0,11.8,12.1,32.37
2427,6,3,3,0,0,0,0,0,85,0,13.3,11.8,35.76
