Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
338,4,4,274,3,3,3,3,3,2,3
338,4,4,275,3,3,4,3,3,2,3
340,5,3,272,2,3,2,3,2,3,3
340,5,3,273,4,3,3,3,3,2,3
345,9,4,761,3,2,3,3,3,2,2
345,4,4,903,3,3,4,3,3,3,3
345,4,4,904,4,3,4,3,3,3,3
345,5,4,905,2,3,3,3,3,3,3
345,4,4,906,3,3,4,3,3,3,4
345,5,4,907,3,3,3,3,3,2,3
345,5,4,908,3,3,4,3,3,2,3
367,5,4,18856,2,3,3,3,3,3,2
367,6,4,18859,3,3,4,3,3,3,2
368,5,4,109,2,3,3,3,4,3,2
368,4,4,110,2,3,3,2,3,3,2
368,4,4,111,3,3,3,2,3,3,2
369,7,2,66,2,3,3,3,4,3,3
369,5,3,150,2,3,3,3,3,3,2
369,4,4,190,3,2,2,2,2,3,3
369,4,4,191,3,2,3,3,3,2,2
369,1,2,870,2,2,3,3,2,3,2
369,3,4,872,3,3,3,3,3,3,3
334,1,2,1487,2,2,3,3,2,2,1
334,1,4,1489,1,2,3,3,3,2,3
334,1,4,2265,3,2,3,3,3,2,2
334,1,3,2433,3,2,3,2,3,2,2
334,1,4,2434,2,1,2,3,1,2,2
343,5,3,506,2,3,3,4,4,2,3
343,5,4,507,4,3,3,4,3,3,3
343,4,5,508,4,3,4,3,3,2,2
343,5,4,509,2,3,4,4,3,4,3
343,5,4,510,4,2,4,4,2,2,2
343,6,4,511,3,3,2,3,3,3,3
343,5,3,512,4,3,4,4,3,3,3
343,6,4,513,3,3,4,4,4,2,3
343,4,4,514,3,4,3,4,3,4,4
343,5,4,515,3,3,3,4,3,3,3
343,6,2,516,4,2,4,3,2,3,2
343,5,2,517,2,3,2,3,3,3,3
343,9,2,755,2,2,3,3,2,2,2
343,2,4,756,4,2,4,3,3,2,2
343,9,4,757,3,2,3,3,2,2,2
383,8,1,5,4,2,4,3,2,2,3
383,9,4,914,2,3,2,2,3,2,2
383,6,3,18779,3,3,4,3,3,3,3
383,5,4,18792,2,3,2,2,3,3,3
383,5,4,18822,3,3,4,3,3,3,2
383,9,4,18989,2,3,3,3,3,3,2
383,7,2,18990,3,1,3,2,3,2,1
383,9,2,18991,2,3,3,3,4,3,3
239,6,3,413,3,3,3,3,4,3,2
239,6,3,414,3,2,3,2,2,2,2
239,5,4,415,3,3,3,3,4,2,2
239,5,4,416,3,3,4,3,3,3,2
239,7,3,18985,4,3,4,3,3,3,3
239,6,4,18986,4,3,3,4,4,3,3
239,6,4,18987,3,2,3,3,3,3,2
243,5,4,406,2,4,3,4,4,4,4
243,7,1,407,3,4,4,4,4,4,4
243,5,1,1190,3,4,3,4,4,4,4
243,6,4,18898,2,3,3,3,3,3,3
243,6,4,18899,3,3,3,3,3,3,3
243,7,3,18900,3,3,4,3,3,3,3
243,6,3,18988,3,3,3,3,3,2,2
246,7,2,214,2,3,2,2,4,3,3
246,3,5,410,3,3,3,3,3,3,2
246,4,4,411,3,3,3,3,4,4,3
246,5,4,412,2,3,3,3,4,3,4
246,9,4,812,3,3,3,3,3,3,2
246,3,3,813,3,3,4,3,3,4,3
246,3,4,814,3,3,4,3,3,3,3
246,2,3,815,3,3,4,3,3,3,3
246,9,3,816,3,2,3,3,2,2,1
246,1,1,1814,3,3,3,3,3,3,2
247,5,4,18977,4,2,4,3,2,3,2
247,5,4,18978,2,3,3,4,3,2,2
247,6,4,18979,4,3,4,2,3,3,3
247,8,2,18980,4,3,4,4,3,4,4
247,6,4,18981,2,3,3,2,2,3,2
247,8,2,18982,3,3,4,4,3,3,3
247,4,4,18983,3,2,4,3,2,2,2
247,9,4,18984,3,3,3,3,2,2,3
250,5,4,1122,3,3,3,2,3,2,2
255,7,2,255,4,3,4,3,3,3,4
255,5,4,256,3,3,3,3,3,3,3
255,5,4,257,3,3,3,3,4,3,3
379,5,4,616,3,3,4,3,3,3,2
379,9,4,19012,3,3,4,2,3,3,3
58,5,4,67,2,3,3,3,3,3,3
58,8,1,139,3,3,4,3,3,3,3
59,2,5,135,3,3,3,3,3,3,3
59,5,5,18811,3,3,4,2,3,3,2
60,5,4,137,3,2,3,3,3,3,2
78,5,3,329,3,3,4,3,3,3,2
87,4,5,119,3,3,3,3,3,3,3
87,5,4,1066,3,3,3,3,2,3,3
87,5,4,1067,4,2,4,3,3,2,3
87,4,4,1068,3,3,3,2,3,3,3
111,4,4,91,4,3,4,3,3,3,3
111,4,4,93,3,3,4,3,3,3,2
117,5,5,88,4,3,3,3,2,3,3
117,4,4,89,3,3,4,3,3,3,2
117,3,3,141,3,4,3,3,4,3,4
117,3,4,142,2,3,4,3,3,3,2
240,5,4,403,3,2,3,3,2,2,2
240,6,4,404,2,3,2,3,3,3,3
242,6,3,18841,2,2,4,3,2,2,2
242,6,3,18842,3,3,4,3,3,3,3
244,5,3,1181,3,3,3,3,3,3,3
244,5,4,1182,4,2,4,3,3,2,2
244,7,2,1183,4,2,4,2,2,2,2
245,5,4,409,3,3,3,3,3,3,3
245,3,4,1188,2,2,3,3,2,2,2
248,5,4,986,2,2,2,3,2,2,2
248,5,4,987,4,3,3,3,3,3,3
249,4,5,417,4,2,4,3,3,2,3
249,6,4,418,3,1,4,1,2,1,2
249,5,4,18992,3,3,3,3,3,3,3
251,5,4,18843,2,3,2,3,3,3,2
251,6,4,18844,2,4,2,4,4,3,4
331,5,4,495,3,3,3,3,3,3,4
331,4,4,496,4,2,4,4,3,3,2
331,5,5,497,3,3,3,3,3,3,4
331,5,4,498,3,4,3,3,4,3,4
331,5,4,499,3,3,3,3,3,3,2
331,3,4,500,4,3,3,3,3,3,3
333,5,4,262,2,3,2,3,2,3,3
333,5,4,263,2,3,3,3,3,3,3
333,5,4,264,3,3,4,3,3,3,3
333,5,4,265,2,3,3,3,3,3,4
339,5,4,501,3,3,4,3,3,2,2
339,2,5,759,1,3,1,3,3,3,3
339,5,5,1108,3,3,4,3,3,3,3
339,4,4,1109,3,3,2,3,3,3,3
341,5,4,503,3,3,4,3,3,3,3
341,4,4,504,3,3,4,3,3,3,3
342,5,4,910,3,3,3,3,3,2,2
