Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
410,5,4,1688,4,3,3,3,4,3,3
410,5,4,1689,3,3,3,4,4,3,3
469,3,5,2209,3,4,3,4,3,3,3
469,4,4,2212,3,3,3,3,2,2,2
469,5,2,2378,2,4,3,3,4,2,3
474,9,4,712,4,3,3,3,3,3,2
474,4,4,2332,3,3,2,3,2,4,3
476,5,4,1606,3,3,3,4,3,3,3
476,6,4,1607,3,3,3,2,2,3,3
476,7,2,1608,3,2,3,3,1,3,4
476,2,4,2379,2,4,2,3,2,4,2
653,5,4,1280,3,2,3,2,4,3,2
653,5,3,1739,3,3,3,1,3,3,3
657,4,5,1837,3,4,4,1,3,4,4
657,5,4,1838,2,4,2,3,4,4,4
749,3,4,2106,3,3,3,3,3,3,3
749,6,3,2107,5,4,2,3,4,4,3
750,6,3,1724,3,3,3,3,3,3,2
750,3,4,2148,4,3,3,4,2,2,3
769,4,5,1433,4,3,3,2,4,3,2
769,3,5,1884,4,3,4,3,4,4,3
392,5,4,827,4,3,3,2,3,2,3
392,5,3,828,3,2,3,2,2,1,1
392,7,3,841,3,3,4,3,3,3,3
395,6,3,1784,5,3,4,2,3,2,3
395,4,5,2154,4,3,4,3,3,3,3
395,5,4,2155,4,3,3,3,2,3,3
397,4,4,1915,3,3,4,3,2,3,3
397,3,5,1916,3,3,3,2,2,3,3
399,5,5,1917,3,3,4,3,3,3,3
399,5,4,1918,4,4,4,3,4,4,4
400,4,5,830,3,3,3,3,3,4,3
400,4,5,831,5,4,4,3,3,1,2
400,8,2,1298,4,3,4,3,4,4,3
400,4,5,19033,3,2,3,3,3,3,2
400,4,5,19053,3,3,3,3,3,2,3
475,4,4,1588,3,3,2,3,2,3,3
475,5,3,1589,4,3,4,3,3,3,3
550,6,3,1738,2,3,2,2,3,3,4
550,5,3,2037,4,3,4,4,4,3,3
550,4,4,2038,3,2,4,2,2,1,3
550,4,4,2039,5,3,3,1,3,2,3
550,4,3,2040,3,3,4,2,3,3,3
550,4,3,2041,4,3,4,3,4,4,3
550,2,4,2444,3,3,4,4,5,1,3
551,5,5,1346,3,3,1,5,1,4,5
551,5,4,1347,3,3,3,2,5,3,3
551,3,5,2341,2,3,1,3,4,2,3
552,5,3,1548,4,3,3,5,4,3,4
552,4,4,1549,5,2,5,4,4,2,3
552,5,4,1550,5,2,3,2,1,2,4
552,5,3,1551,2,3,3,4,4,3,4
552,5,3,1552,3,4,3,4,5,4,3
552,3,3,2344,4,2,3,4,2,2,3
552,2,4,2345,3,2,3,3,2,2,4
553,5,4,1840,4,3,4,3,1,3,3
553,4,5,1841,3,4,2,2,4,4,4
553,3,3,2346,2,4,2,4,4,5,5
554,5,4,1427,4,4,5,3,3,4,3
554,5,4,1429,3,4,3,5,5,3,3
554,3,5,1553,4,3,4,2,3,3,4
554,1,3,2908,2,5,5,5,5,5,5
555,5,4,2036,2,3,2,3,2,4,3
555,4,3,2218,4,4,4,5,5,3,4
651,5,4,1476,3,2,3,3,2,2,1
651,7,2,1477,3,3,3,3,3,3,2
651,4,4,1885,2,2,3,2,2,2,2
656,4,5,1437,2,2,3,3,2,3,2
656,5,4,1438,3,2,3,2,2,2,2
658,3,4,2051,3,2,3,2,3,2,2
658,6,4,2052,3,2,3,2,1,2,2
659,4,4,1679,3,3,4,3,3,3,2
659,2,5,2248,3,2,4,2,3,2,2
696,5,4,1402,3,3,2,3,2,3,3
696,5,4,1403,3,2,3,4,4,4,2
696,3,5,2321,3,2,3,3,3,3,3
696,3,5,2322,3,3,3,3,4,3,3
696,4,4,2323,2,3,3,4,2,3,4
696,3,5,2324,2,3,3,3,4,3,3
696,3,5,2325,3,3,3,4,3,3,3
696,2,4,2326,3,3,2,3,3,2,3
696,2,4,2327,2,3,3,4,4,3,3
698,4,5,1411,2,2,3,4,2,2,4
698,6,2,1603,3,2,4,2,2,3,3
698,4,4,1604,4,3,3,3,2,3,3
698,4,4,1605,2,2,2,4,3,3,2
698,4,5,1653,3,2,3,3,2,3,2
698,5,4,1955,2,3,3,3,2,3,4
698,5,4,1956,3,3,3,2,4,2,2
698,5,4,1957,2,3,3,3,3,3,3
698,4,5,1958,3,3,4,3,2,3,2
698,5,4,1959,3,4,3,4,4,3,3
698,4,5,1960,3,3,3,3,2,3,3
698,4,4,1961,4,4,3,2,2,3,4
698,5,2,1962,4,4,3,3,4,2,3
698,3,4,1963,3,3,3,3,3,3,2
698,3,4,1964,3,3,2,3,2,4,3
698,4,5,19052,3,3,4,3,3,3,4
498,4,6,738,4,4,4,3,4,3,4
498,5,5,739,3,3,4,1,3,1,3
498,4,4,1495,3,3,1,3,4,2,4
498,6,4,1496,4,3,3,1,5,1,2
699,6,4,779,3,2,2,2,3,3,3
699,5,5,2208,3,3,3,3,2,3,3
700,4,5,19031,3,2,4,3,2,3,3
700,5,4,19032,3,3,3,3,3,3,2
701,4,5,1134,3,4,3,2,2,3,3
701,5,5,2328,3,2,3,3,2,4,3
701,1,3,2618,2,2,2,4,2,4,2
701,1,1,2771,2,3,2,4,1,3,2
702,5,5,1337,3,3,3,3,3,2,3
702,1,2,3660,3,4,3,3,3,2,3
496,5,4,1490,3,3,4,3,4,3,3
496,7,2,1491,4,5,4,3,5,4,5
496,5,4,1492,3,3,4,4,4,3,4
497,5,4,1267,2,3,2,2,3,3,4
497,5,4,1268,3,5,3,2,5,5,5
497,5,4,1269,3,3,4,4,4,2,4
499,4,5,1934,3,3,5,3,4,2,4
499,4,5,1935,2,3,4,2,5,2,4
499,2,5,1936,4,4,4,1,4,2,4
499,5,5,1937,3,2,4,4,3,1,3
499,4,5,19068,3,3,3,2,1,3,4
585,6,1,1880,3,4,3,2,4,3,3
585,5,3,1881,4,3,2,3,3,3,2
585,5,4,1882,3,2,4,2,3,3,3
585,5,4,2124,4,2,3,3,3,3,3
433,8,5,817,4,2,4,2,2,2,3
433,9,3,818,4,2,4,3,4,2,3
433,3,4,1896,3,2,4,4,3,2,3
433,6,4,1897,3,3,2,3,3,2,3
433,4,5,1898,3,3,2,2,3,3,3
433,4,4,1899,2,4,2,3,3,4,4
530,5,4,1431,2,2,2,3,2,4,1
530,6,2,1942,3,3,3,4,3,3,3
530,4,2,2333,3,2,3,3,3,3,2
531,4,5,1965,2,1,2,3,1,4,3
531,5,5,1966,3,3,3,3,2,4,2
532,3,6,1414,3,4,3,3,2,3,3
532,3,5,1415,3,3,3,4,3,3,3
532,4,5,1947,3,3,3,3,2,4,3
532,5,4,1950,3,2,3,3,2,3,3
532,5,4,1951,2,2,3,3,1,3,3
532,5,5,1952,3,3,2,3,2,3,2
532,1,4,3380,3,4,2,4,3,3,3
532,1,2,3385,3,3,3,3,3,3,2
533,6,3,1967,3,3,3,3,2,3,4
533,2,5,2334,2,3,3,4,3,2,3
655,4,5,1911,4,3,4,3,3,4,3
655,4,4,1914,3,3,3,1,3,3,2
655,5,5,1995,3,3,3,3,3,4,3
668,5,4,1435,3,2,3,1,3,2,2
668,6,4,18873,4,2,3,4,3,2,2
697,4,5,2329,4,3,4,3,2,3,3
697,4,4,2330,4,3,4,4,3,2,3
697,3,5,2331,3,4,3,2,3,3,3
697,2,4,2447,2,3,2,3,3,3,3
396,4,5,1808,4,3,3,3,3,3,4
396,4,5,1810,4,3,3,3,3,3,3
396,2,5,2141,2,3,2,3,3,2,3
403,5,4,1806,3,3,3,3,3,3,3
403,5,4,1807,3,3,2,2,3,3,2
526,6,4,1614,3,3,3,2,2,3,2
526,3,4,1616,3,4,3,3,3,3,3
529,6,4,1261,2,3,2,4,2,3,3
529,6,4,1467,3,2,2,3,3,4,3
529,5,5,1468,2,3,3,3,1,3,3
529,6,4,1516,4,3,1,3,1,3,4
529,5,4,1517,3,3,3,3,2,3,2
529,5,4,1954,3,2,3,3,2,3,2
529,4,3,1978,2,2,3,4,2,3,3
731,4,5,1805,3,3,4,4,3,3,4
731,8,2,2351,4,3,3,3,3,3,3
731,9,4,18920,3,3,4,3,3,2,2
773,4,3,19277,4,2,4,1,2,1,2
773,6,4,19278,5,2,5,3,1,2,2
398,5,4,1507,4,3,4,3,3,2,3
398,5,4,1900,3,3,3,3,3,3,4
411,5,4,1920,3,2,3,3,3,2,4
411,6,4,1921,4,3,4,3,3,2,3
402,4,5,1798,3,3,3,3,3,2,3
402,4,5,1799,4,3,4,3,3,3,4
525,4,4,1349,3,3,3,2,3,3,2
525,3,4,2047,4,3,3,2,3,4,3
549,5,5,866,3,3,3,3,3,3,3
549,3,5,1989,4,3,4,3,3,3,4
560,5,4,1722,4,2,4,4,2,3,2
560,5,3,1723,4,3,4,3,2,3,3
560,5,4,1725,5,3,3,3,4,2,3
666,5,4,1251,2,2,2,2,3,2,2
666,5,4,1703,3,2,3,4,3,2,2
666,1,3,2674,2,1,2,2,1,1,1
667,7,2,1436,3,3,3,3,3,3,3
667,4,5,2249,3,3,3,2,3,4,3
667,2,7,2250,2,3,3,4,3,3,3
669,5,4,1781,4,2,3,3,2,2,2
669,4,4,2251,2,3,3,2,4,3,3
730,9,3,1192,4,3,3,2,3,3,2
730,4,4,1888,3,3,4,2,3,3,2
730,4,4,1889,4,3,4,3,3,3,4
730,1,1,3850,3,3,3,3,3,3,3
732,4,5,2355,3,2,2,2,2,2,3
732,8,5,18823,3,3,3,3,2,3,3
733,2,4,2144,5,3,5,3,3,4,5
733,2,4,2410,4,3,3,3,3,3,3
386,5,4,1671,3,2,3,4,2,2,2
386,4,5,2042,4,4,4,3,3,4,4
387,5,5,840,3,2,3,2,2,3,2
387,5,5,849,2,2,2,3,2,2,2
387,7,3,1434,3,2,3,3,2,3,2
401,5,4,1830,4,3,3,3,4,4,3
401,8,2,1832,4,3,4,3,4,3,3
401,5,5,1833,4,2,3,3,2,2,2
401,5,5,1834,5,2,3,2,2,1,2
527,5,5,1544,3,3,3,3,3,3,3
527,4,4,1618,3,4,3,4,3,3,3
527,2,5,1977,3,2,3,3,2,3,4
528,4,5,1426,3,3,2,3,3,3,3
528,7,3,1428,3,3,2,3,3,3,2
534,5,4,1398,3,3,3,3,2,4,3
534,6,3,1399,2,2,2,3,3,3,3
534,6,4,1400,3,3,3,3,2,3,3
535,5,5,1953,3,3,2,3,3,2,3
535,2,4,2224,3,2,3,3,2,3,3
738,6,4,1871,3,2,2,3,3,3,2
738,5,5,1872,3,3,4,3,2,4,3
738,5,5,1873,3,2,2,3,3,3,2
738,5,4,1874,4,3,4,3,3,4,4
738,6,4,1875,3,2,4,3,3,3,2
738,4,4,1876,4,4,3,3,3,3,3
738,5,4,1877,4,3,3,3,3,3,4
738,3,4,1878,3,3,2,3,2,3,3
738,3,5,1879,4,3,4,3,3,3,3
738,3,4,19103,4,2,3,2,4,3,2
739,5,5,1868,3,3,3,3,2,3,2
739,5,4,1869,2,3,2,3,2,3,1
739,2,5,1870,3,2,3,3,1,3,3
739,2,4,2383,4,3,3,3,3,3,2
739,2,2,2395,3,3,2,3,3,3,2
739,2,2,2396,3,2,3,2,3,3,2
739,1,2,2575,4,3,3,3,2,4,3
741,4,5,1540,2,3,2,3,2,3,3
741,5,5,1541,3,3,3,3,3,3,4
744,5,5,2120,4,3,4,3,2,3,3
744,6,2,3000,3,2,3,3,3,3,2
748,5,4,2129,4,2,4,3,2,4,4
748,4,6,2130,3,4,3,3,3,3,3
763,5,5,1924,4,3,4,3,3,2,2
763,5,5,1925,5,2,4,2,3,2,2
768,4,5,1831,2,3,3,3,2,3,3
768,6,4,1835,2,3,4,4,3,3,3
418,4,5,1542,4,2,5,3,3,2,3
418,5,4,1711,3,4,2,4,3,4,3
418,5,5,1712,3,2,3,3,2,3,3
427,9,5,1028,3,2,3,3,2,3,2
427,2,5,2381,4,2,4,3,2,3,2
427,3,5,2382,4,2,3,3,2,3,2
468,5,5,1681,2,3,3,3,3,3,2
468,3,4,1886,3,2,2,3,2,3,2
502,5,4,1339,3,3,3,3,3,3,3
502,5,5,1405,3,2,3,3,1,4,3
502,4,6,1406,4,3,4,3,3,3,2
502,3,6,1979,4,3,3,3,2,3,3
502,4,5,1980,4,3,3,3,2,3,3
503,9,6,1057,3,3,4,3,3,3,4
503,7,6,18889,3,2,2,3,1,3,1
505,5,5,1397,3,4,3,2,2,3,3
505,4,6,1949,4,3,3,3,2,3,3
548,5,5,1311,4,2,3,3,2,2,2
548,5,4,1622,3,2,3,3,1,2,2
548,4,4,2369,3,2,3,3,3,3,2
559,5,4,1797,4,3,3,3,3,3,3
559,5,4,1819,3,3,3,3,3,2,3
559,3,3,2147,3,3,3,3,3,4,3
561,6,4,832,4,3,4,3,3,3,3
561,6,4,833,4,3,4,3,4,3,3
562,5,5,1717,3,3,3,3,4,2,3
562,5,4,1718,3,2,4,3,3,2,2
562,5,4,1719,3,2,4,4,4,2,2
567,4,4,1714,3,2,4,3,2,2,2
567,5,4,1715,4,1,3,4,1,2,2
567,5,4,1716,4,2,4,3,3,2,2
692,3,5,2307,3,2,3,3,2,3,2
693,5,5,1858,3,3,3,3,3,3,4
693,4,6,1859,3,3,3,3,2,4,3
693,4,6,1860,3,2,2,3,3,3,3
695,5,4,1864,3,3,3,3,3,4,3
695,4,5,1865,2,2,3,4,2,3,3
695,3,6,1866,2,2,2,3,1,4,2
740,5,5,1534,3,3,3,3,3,3,3
743,4,5,1526,4,3,3,3,3,3,2
743,5,5,1527,2,2,2,3,2,3,2
743,6,4,1531,4,2,3,2,1,3,2
745,5,4,1525,4,2,3,3,2,3,2
745,6,4,1528,4,2,4,3,1,3,2
746,8,2,1529,2,2,2,2,1,2,1
746,6,3,1530,3,1,2,2,1,3,1
746,6,4,1532,4,2,3,3,1,3,3
747,4,5,2118,4,3,3,3,3,3,2
747,4,5,2119,4,3,4,3,3,4,4
563,4,5,1704,4,2,4,3,2,3,3
563,5,5,1705,3,2,4,3,1,2,3
563,4,5,1706,4,3,4,3,2,3,3
564,5,4,1707,4,3,4,3,3,2,3
564,4,4,1708,3,4,3,3,4,3,4
564,5,4,1709,4,3,4,3,3,3,3
564,6,4,1710,4,3,3,3,3,3,3
569,5,5,19065,3,3,2,3,3,3,3
569,5,5,19066,3,3,3,3,2,3,3
569,5,4,19067,2,3,3,4,3,3,3
692,5,5,1770,3,2,3,3,2,3,2
694,5,3,1861,3,3,3,3,3,3,3
694,6,3,1862,3,4,3,4,3,3,4
694,2,5,2123,2,3,3,3,2,4,3
694,2,5,2384,3,2,3,3,2,2,3
565,6,7,1193,5,1,5,3,1,2,2
565,4,4,1823,3,3,4,3,3,3,2
565,4,4,1824,4,2,5,4,2,2,3
565,2,7,1825,4,1,5,3,2,2,2
565,5,2,2134,4,3,4,3,3,2,3
565,4,4,2135,3,3,4,3,3,3,2
565,2,5,2136,4,1,4,3,1,2,3
565,5,1,2137,5,3,4,3,3,2,3
565,4,3,2413,5,3,4,3,3,3,4
565,3,4,2414,3,3,4,3,3,3,3
670,9,4,811,4,2,4,4,2,2,2
670,5,5,1623,4,2,3,4,3,3,2
671,5,5,1561,3,2,3,2,2,1,2
671,5,5,1562,3,3,3,3,2,3,3
671,5,5,1563,3,3,4,4,3,3,3
671,3,5,2429,3,3,2,2,3,2,3
672,6,4,2203,3,3,3,3,3,2,3
672,5,4,2204,3,3,3,3,3,4,3
672,5,3,2205,3,4,2,3,5,3,4
684,4,5,1789,4,3,3,3,3,4,3
684,1,4,2943,3,3,2,3,3,2,2
687,6,4,2199,3,3,4,3,3,2,3
687,6,5,2200,4,3,3,2,4,3,3
689,4,5,2190,3,3,4,3,3,2,3
689,5,3,2191,3,3,3,3,3,3,2
416,3,5,1420,3,3,3,2,2,3,2
416,4,6,1813,3,2,3,3,1,3,3
416,3,5,19091,4,3,2,3,3,2,2
675,5,5,1310,4,2,4,3,2,3,2
675,5,5,2192,3,3,3,3,3,3,3
677,5,5,2206,4,3,3,3,4,3,3
677,5,5,2207,4,3,4,3,2,4,3
678,6,4,2075,4,3,3,3,3,3,3
678,6,4,2076,3,2,3,3,3,2,2
678,5,5,2077,3,3,3,5,3,3,2
679,4,5,1554,3,3,3,4,3,2,2
679,3,5,1656,2,3,2,3,2,2,3
690,9,5,648,5,2,4,3,2,3,1
690,5,4,1558,5,3,4,3,3,3,4
690,5,5,1559,4,2,4,3,3,2,2
690,7,3,1560,3,3,3,4,4,3,3
771,5,4,19132,2,2,2,3,3,2,3
771,8,4,19286,3,2,3,3,2,2,4
771,8,1,19287,4,4,5,2,3,2,4
742,5,5,1367,3,3,2,3,3,3,3
742,5,5,1368,3,2,3,3,3,3,2
742,5,5,1369,3,4,3,3,4,4,4
742,3,5,1848,4,3,4,3,2,2,2
440,5,5,2174,4,3,2,3,3,3,3
440,2,5,2268,4,3,3,3,2,3,2
442,9,5,656,2,3,3,3,3,3,3
442,3,7,1629,4,2,3,3,3,3,2
443,4,5,2196,4,3,3,2,2,4,4
443,3,5,2197,4,2,2,3,3,3,4
443,2,4,2424,3,2,3,3,2,3,3
445,4,6,2180,4,2,3,3,1,3,2
445,6,5,2181,3,3,3,4,2,3,4
450,8,1,2175,3,2,3,2,1,3,2
450,7,2,2176,4,3,3,3,1,3,4
450,5,4,2177,3,2,3,3,2,2,2
674,5,5,2201,4,3,3,3,4,3,2
674,6,4,2202,4,3,4,4,2,3,3
676,5,5,2164,2,3,4,4,3,3,3
676,4,5,2165,3,3,3,3,3,2,3
676,5,4,2166,2,3,3,3,3,2,3
680,7,3,1509,4,4,4,4,4,3,3
680,4,5,1580,3,2,4,3,2,3,2
681,5,5,1504,3,2,3,2,2,2,2
681,5,5,1533,3,3,4,2,2,3,3
681,4,5,1637,3,3,4,3,4,2,3
681,5,5,1795,4,3,4,3,3,3,3
681,5,5,1796,4,4,4,3,4,4,3
681,2,6,19090,3,2,3,3,2,1,2
688,7,4,2347,3,3,2,4,4,3,4
688,5,5,2348,3,3,2,3,3,3,3
688,5,5,2349,3,3,3,4,3,3,4
688,5,5,2350,4,1,4,3,1,1,1
688,6,3,2352,4,3,3,4,2,2,3
688,3,6,2354,4,2,4,4,2,2,2
691,5,5,1793,4,3,4,4,3,4,3
691,5,4,1794,4,3,4,3,2,3,3
721,4,6,1332,3,4,3,3,3,4,4
721,4,5,1513,4,3,4,4,4,3,3
721,5,5,1522,2,3,3,4,3,3,3
721,5,6,1523,4,3,4,3,3,3,3
721,4,5,1524,3,3,4,4,4,3,3
721,2,5,2375,3,3,4,4,3,3,3
760,8,2,1570,4,2,4,3,4,3,3
760,6,2,2260,4,3,3,2,3,3,3
760,9,3,19057,3,3,2,3,3,3,3
686,5,4,2161,3,3,3,3,3,2,3
686,6,4,2162,2,3,2,3,2,3,3
686,5,4,2163,3,3,3,3,3,2,3
761,6,3,1792,3,3,4,3,3,2,2
761,5,5,2362,4,3,3,4,3,2,3
408,4,6,19069,2,2,2,2,2,2,2
408,5,5,19072,3,3,2,2,3,3,3
444,5,5,1318,3,3,3,3,2,4,3
444,4,5,1430,4,3,3,4,3,4,3
444,1,2,3245,3,3,3,4,3,3,3
444,1,3,3246,2,2,3,3,2,4,2
446,6,4,1782,4,3,4,3,3,3,2
446,5,5,1783,3,2,3,3,4,3,3
446,5,5,2182,3,3,3,4,2,3,3
447,6,5,2183,3,2,3,3,2,4,2
447,5,5,2184,2,2,3,3,1,3,3
447,7,2,2185,3,3,2,3,4,2,3
447,5,5,2186,3,3,3,3,2,3,2
447,3,5,2252,3,2,3,3,2,3,3
448,5,5,1375,3,2,3,3,3,4,3
448,5,5,1376,4,3,3,4,2,3,3
449,4,6,2363,3,3,3,3,2,4,3
449,4,5,2370,4,3,4,4,3,3,2
451,8,5,865,3,2,2,3,4,2,3
451,5,5,19100,3,3,4,2,3,3,3
460,4,5,2285,2,2,2,2,2,2,3
460,4,5,2286,2,4,2,2,4,4,4
460,2,4,2391,3,2,3,2,2,2,2
461,5,5,1505,3,2,2,2,2,3,2
461,5,4,1506,3,2,2,2,2,2,2
461,5,4,1883,2,3,3,1,3,3,3
462,8,2,2108,2,4,3,4,4,4,3
462,4,6,2109,2,2,2,4,3,2,2
462,5,5,2110,2,2,3,3,4,2,2
415,7,3,2131,4,2,3,3,2,3,2
415,3,6,2132,4,3,4,3,3,3,2
415,4,5,2133,2,2,3,3,2,3,2
415,1,3,3348,3,2,3,3,2,3,3
415,1,3,3422,3,4,3,3,3,3,3
463,5,5,2281,2,2,1,3,2,2,2
463,5,5,2282,3,3,3,2,4,3,2
463,6,4,2283,3,3,3,4,3,2,3
463,8,7,2284,3,2,2,1,2,2,2
593,9,6,589,2,2,2,4,3,3,3
593,2,5,2422,3,3,2,4,4,2,3
593,4,5,2423,3,3,3,3,3,3,3
593,8,5,19022,3,3,3,3,3,2,3
594,9,6,594,3,2,3,3,2,3,3
594,4,6,2012,3,3,4,3,2,3,3
594,2,6,3527,2,3,4,4,3,4,3
595,6,3,2009,4,3,3,3,4,2,3
595,4,6,2010,4,2,3,2,2,2,3
595,5,6,2011,4,2,3,3,3,2,3
598,2,4,2463,3,3,3,3,2,2,3
598,5,5,19058,3,3,3,3,3,3,3
598,7,3,19059,4,3,3,3,3,3,3
600,5,6,1288,2,3,4,3,3,3,3
600,3,4,2367,3,2,3,3,3,4,3
600,5,5,2368,4,2,3,4,2,3,4
603,5,5,2187,3,3,4,4,3,3,3
603,5,5,2188,3,2,3,2,3,3,3
614,2,7,1850,3,3,3,3,2,3,2
614,7,3,1851,3,2,3,3,2,3,4
614,3,5,2296,3,3,3,3,3,3,3
421,6,5,1720,3,3,3,3,2,4,3
421,5,5,1919,3,2,3,3,3,3,2
423,6,4,1266,4,3,3,3,3,3,2
423,4,5,1366,3,2,3,3,1,3,2
423,4,6,1595,3,2,4,3,3,3,3
423,5,5,2050,3,2,3,3,1,2,2
423,7,4,2371,4,3,3,3,2,3,3
423,3,5,2372,4,2,4,3,2,2,2
441,5,5,1380,4,3,4,3,4,3,3
441,2,5,19119,3,2,3,3,3,3,3
591,5,5,1619,4,2,3,3,2,3,3
591,3,5,2189,3,3,3,3,3,3,3
592,9,6,1114,3,3,2,4,3,3,3
592,6,4,2253,2,3,3,3,2,3,3
599,4,6,1370,4,2,3,3,3,4,2
599,5,5,1371,3,2,4,3,2,3,3
599,6,4,2198,4,3,4,4,3,2,3
601,5,5,1373,3,3,3,3,3,3,2
601,6,4,1374,2,4,4,4,3,3,4
602,5,5,1372,3,4,3,3,4,3,3
602,2,5,19085,2,3,3,3,3,4,3
605,5,5,1555,4,2,3,2,3,2,3
605,5,5,1556,3,2,4,3,2,3,2
605,2,4,2426,3,3,3,2,3,3,3
613,5,5,1514,4,3,4,3,3,3,2
613,5,5,1515,3,3,3,3,3,3,3
617,4,6,1721,4,4,4,3,3,3,4
617,4,5,1843,3,3,3,3,2,3,3
617,5,5,1844,4,3,3,3,3,3,4
617,6,5,1845,4,2,3,3,2,3,4
617,5,5,1846,3,3,3,3,2,3,3
617,5,5,1847,4,3,3,3,3,2,3
618,5,5,1518,3,2,3,3,1,3,3
618,5,5,1519,3,2,3,3,1,3,2
547,6,5,867,2,2,3,3,3,2,3
547,4,3,1993,4,4,3,3,4,4,4
596,4,5,2255,3,2,3,3,2,3,3
596,4,5,2256,4,2,3,2,3,3,3
596,7,2,2257,3,3,3,3,3,2,4
596,7,3,2258,3,2,4,3,1,4,3
596,6,3,2259,3,4,2,3,4,2,4
596,2,4,2462,3,3,3,3,2,3,2
597,6,5,1249,3,2,3,2,2,4,4
597,2,5,2679,3,4,3,4,4,3,3
604,5,5,2269,3,4,3,3,3,3,3
604,3,5,2270,3,3,3,3,2,3,4
604,2,6,2461,3,2,3,3,1,4,1
673,8,7,682,4,2,3,3,1,3,3
673,3,3,2271,4,4,3,3,4,3,3
673,6,2,2272,5,2,3,2,3,2,2
673,6,3,2273,4,2,4,3,2,2,3
673,5,4,2274,4,3,3,2,3,4,3
673,6,4,2275,4,4,3,4,4,3,3
673,6,4,2276,4,3,4,3,3,3,3
673,6,4,3770,4,2,3,3,3,2,2
673,9,5,18997,4,3,4,2,2,3,2
673,5,5,19028,4,2,4,3,3,2,2
673,5,5,19089,3,3,5,4,3,3,3
682,5,4,2195,4,3,3,3,3,3,4
682,8,4,19123,4,3,4,3,3,2,3
762,6,3,2277,3,3,3,3,3,2,2
762,4,5,2278,3,2,2,3,2,2,2
762,5,5,2279,3,3,3,3,3,3,3
481,5,4,1306,3,2,3,3,2,3,3
481,7,3,1307,3,4,3,3,3,3,3
481,4,5,1308,3,4,2,3,3,3,3
481,6,2,2406,3,3,3,4,3,3,4
481,5,3,2407,2,2,3,4,3,4,3
481,1,3,3579,3,1,2,3,1,4,1
481,1,4,3669,3,3,2,3,2,3,3
683,9,6,1098,5,3,4,3,4,3,3
683,5,5,1508,4,3,4,3,3,3,2
683,7,3,1510,3,3,3,3,3,3,3
683,5,5,1511,5,3,4,2,3,2,3
683,3,5,1788,3,4,3,4,4,4,3
683,5,5,2079,3,3,3,4,3,3,3
683,4,5,2080,5,2,3,2,2,1,2
683,4,4,2081,2,3,3,3,5,3,3
685,4,6,1626,4,3,4,3,3,3,3
685,4,6,1627,4,2,3,2,3,2,1
685,4,6,1628,4,3,4,3,3,2,3
685,5,5,2280,3,3,3,2,3,2,3
685,2,1,2512,4,3,3,3,3,4,3
685,1,1,3796,3,3,3,2,3,4,3
482,6,5,1309,4,2,3,2,2,3,3
482,4,5,2058,3,2,4,3,2,3,2
568,4,6,2356,4,3,3,3,3,3,3
568,5,5,2357,3,3,4,3,2,3,3
568,5,5,2358,4,3,3,4,3,2,3
568,7,3,2359,2,2,3,4,3,2,2
568,5,5,2360,3,2,2,3,3,1,3
568,5,4,2361,3,3,2,3,4,3,2
615,8,5,775,4,3,4,2,2,2,4
615,7,3,1852,2,2,4,3,2,2,3
615,4,6,1853,3,2,3,3,1,3,3
615,4,6,1854,3,3,4,3,3,2,4
615,5,5,1855,4,3,4,3,2,3,3
615,3,6,2297,4,3,3,3,3,2,3
615,2,5,2386,4,2,4,3,1,2,3
615,2,6,2387,3,3,4,3,3,2,3
644,5,5,1856,3,3,4,3,3,3,2
644,2,6,2295,3,3,3,3,3,3,3
649,3,6,1667,3,2,3,4,3,2,2
649,2,4,2403,2,2,2,2,2,2,3
509,5,5,1448,3,2,3,3,3,2,3
509,5,5,1449,4,2,3,3,2,3,3
509,3,4,2405,3,2,4,3,1,3,3
509,8,3,19054,3,3,3,3,2,3,3
511,9,6,1072,2,3,3,3,3,3,2
511,2,5,2070,3,2,3,3,3,3,2
512,5,6,1464,3,2,4,4,2,4,3
512,7,3,1465,3,2,3,3,2,4,3
512,9,4,18820,4,2,3,3,2,3,3
576,4,6,2290,3,3,4,2,3,3,3
576,3,6,2291,3,2,3,3,2,3,2
577,7,4,780,4,3,4,3,3,3,4
577,7,3,2292,3,3,3,3,4,3,3
577,5,4,2293,4,3,3,3,3,2,2
577,2,6,2294,4,3,4,3,3,3,3
577,2,5,2385,2,3,3,4,2,3,2
578,5,6,2125,4,2,3,3,3,1,2
578,5,6,2126,4,2,4,4,3,3,3
578,3,6,2127,3,3,4,3,2,3,3
578,3,6,2128,4,3,4,3,2,2,3
579,8,5,777,3,3,3,2,2,3,2
579,8,5,778,4,3,4,3,2,2,2
579,6,5,2288,3,2,4,3,2,3,2
579,4,5,2289,3,3,4,3,2,3,3
645,5,6,1732,4,3,5,4,3,3,3
645,8,3,1733,4,4,5,5,4,4,3
645,5,5,1734,4,2,4,2,1,3,2
645,5,6,1735,4,3,4,3,3,3,2
645,3,6,2457,4,3,4,3,3,3,3
645,4,5,2458,3,3,3,3,3,4,3
645,2,6,2459,4,3,3,4,3,3,3
646,4,5,1998,5,3,4,4,3,3,4
